kandidatas,nuo_galiojanciu_biuleteniu,balsadezeje,nuo_rinkeju,pastu,apylinke
Edvardas STRONČIKAS,"16,03%",37,"14,84%",5,Pilies  (Nr.26) apylinkė  
Algirdas GUDAITIS,"9,92%",20,"9,19%",6,Pilies  (Nr.26) apylinkė  
Vitalijus KARAKORSKIS,"6,87%",17,"6,36%",1,Pilies  (Nr.26) apylinkė  
Vidmanta MARCINKEVIČIENĖ,"11,07%",21,"10,25%",8,Pilies  (Nr.26) apylinkė  
Gintaris STOŠKUS,"2,67%",6,"2,47%",1,Pilies  (Nr.26) apylinkė  
Vitalija PETRAITIENĖ,"1,15%",1,"1,06%",2,Pilies  (Nr.26) apylinkė  
Aldona GUDŽIŪNIENĖ,"1,91%",4,"1,77%",1,Pilies  (Nr.26) apylinkė  
Eglija VAITKEVIČĖ,"0,38%",0,"0,35%",1,Pilies  (Nr.26) apylinkė  
Aleksandras MOLIBOGA,"0,38%",1,"0,35%",0,Pilies  (Nr.26) apylinkė  
Bronius PAUŽA,"16,92%",28,"15,18%",6,Trepų  (Nr.26) apylinkė  
Saulius LAPĖNAS,"19,40%",34,"17,41%",5,Trepų  (Nr.26) apylinkė  
Edvardas STRONČIKAS,"22,39%",30,"20,09%",15,Trepų  (Nr.26) apylinkė  
Algirdas GUDAITIS,"9,45%",13,"8,48%",6,Trepų  (Nr.26) apylinkė  
Vitalijus KARAKORSKIS,"9,95%",18,"8,93%",2,Trepų  (Nr.26) apylinkė  
Vidmanta MARCINKEVIČIENĖ,"2,99%",6,"2,68%",0,Trepų  (Nr.26) apylinkė  
Gintaris STOŠKUS,"0,00%",0,"0,00%",0,Trepų  (Nr.26) apylinkė  
Vitalija PETRAITIENĖ,"1,99%",2,"1,79%",2,Trepų  (Nr.26) apylinkė  
Aldona GUDŽIŪNIENĖ,"10,95%",20,"9,82%",2,Trepų  (Nr.26) apylinkė  
Eglija VAITKEVIČĖ,"2,99%",4,"2,68%",2,Trepų  (Nr.26) apylinkė  
Aleksandras MOLIBOGA,"2,99%",5,"2,68%",1,Trepų  (Nr.26) apylinkė  
Bronius PAUŽA,"18,48%",53,"16,90%",8,Adakavo  (Nr.25) apylinkė  
Saulius LAPĖNAS,"8,18%",23,"7,48%",4,Adakavo  (Nr.25) apylinkė  
Edvardas STRONČIKAS,"15,76%",38,"14,40%",14,Adakavo  (Nr.25) apylinkė  
Algirdas GUDAITIS,"16,36%",34,"14,96%",20,Adakavo  (Nr.25) apylinkė  
Vitalijus KARAKORSKIS,"11,52%",31,"10,53%",7,Adakavo  (Nr.25) apylinkė  
Vidmanta MARCINKEVIČIENĖ,"9,39%",22,"8,59%",9,Adakavo  (Nr.25) apylinkė  
Gintaris STOŠKUS,"3,33%",5,"3,05%",6,Adakavo  (Nr.25) apylinkė  
Vitalija PETRAITIENĖ,"3,03%",5,"2,77%",5,Adakavo  (Nr.25) apylinkė  
Aldona GUDŽIŪNIENĖ,"4,85%",12,"4,43%",4,Adakavo  (Nr.25) apylinkė  
Eglija VAITKEVIČĖ,"8,79%",24,"8,03%",5,Adakavo  (Nr.25) apylinkė  
Aleksandras MOLIBOGA,"0,30%",1,"0,28%",0,Adakavo  (Nr.25) apylinkė  
Bronius PAUŽA,"26,94%",87,"25,43%",31,Raudonės  (Nr.25) apylinkė  
Saulius LAPĖNAS,"12,79%",45,"12,07%",11,Raudonės  (Nr.25) apylinkė  
Edvardas STRONČIKAS,"13,24%",40,"12,50%",18,Raudonės  (Nr.25) apylinkė  
Algirdas GUDAITIS,"13,24%",44,"12,50%",14,Raudonės  (Nr.25) apylinkė  
Vitalijus KARAKORSKIS,"4,11%",18,"3,88%",0,Raudonės  (Nr.25) apylinkė  
Vidmanta MARCINKEVIČIENĖ,"10,27%",34,"9,70%",11,Raudonės  (Nr.25) apylinkė  
Gintaris STOŠKUS,"11,19%",32,"10,56%",17,Raudonės  (Nr.25) apylinkė  
Vitalija PETRAITIENĖ,"5,02%",15,"4,74%",7,Raudonės  (Nr.25) apylinkė  
Aldona GUDŽIŪNIENĖ,"0,68%",2,"0,65%",1,Raudonės  (Nr.25) apylinkė  
Eglija VAITKEVIČĖ,"1,14%",3,"1,08%",2,Raudonės  (Nr.25) apylinkė  
Aleksandras MOLIBOGA,"1,37%",5,"1,29%",1,Raudonės  (Nr.25) apylinkė  
Bronius PAUŽA,"62,88%",69,"60,58%",14,Stakių  (Nr.24) apylinkė  
Saulius LAPĖNAS,"15,91%",19,"15,33%",2,Stakių  (Nr.24) apylinkė  
Edvardas STRONČIKAS,"3,03%",3,"2,92%",1,Stakių  (Nr.24) apylinkė  
Algirdas GUDAITIS,"6,82%",7,"6,57%",2,Stakių  (Nr.24) apylinkė  
Vitalijus KARAKORSKIS,"1,52%",2,"1,46%",0,Stakių  (Nr.24) apylinkė  
Vidmanta MARCINKEVIČIENĖ,"4,55%",3,"4,38%",3,Stakių  (Nr.24) apylinkė  
Gintaris STOŠKUS,"0,76%",0,"0,73%",1,Stakių  (Nr.24) apylinkė  
Vitalija PETRAITIENĖ,"0,76%",1,"0,73%",0,Stakių  (Nr.24) apylinkė  
Aldona GUDŽIŪNIENĖ,"3,03%",4,"2,92%",0,Stakių  (Nr.24) apylinkė  
Eglija VAITKEVIČĖ,"0,76%",1,"0,73%",0,Stakių  (Nr.24) apylinkė  
Aleksandras MOLIBOGA,"0,00%",0,"0,00%",0,Stakių  (Nr.24) apylinkė  
Bronius PAUŽA,"17,69%",114,"15,49%",22,Skaudvilės  (Nr.24) apylinkė  
Saulius LAPĖNAS,"16,91%",118,"14,81%",12,Skaudvilės  (Nr.24) apylinkė  
Edvardas STRONČIKAS,"22,24%",136,"19,48%",35,Skaudvilės  (Nr.24) apylinkė  
Algirdas GUDAITIS,"10,14%",69,"8,88%",9,Skaudvilės  (Nr.24) apylinkė  
Vitalijus KARAKORSKIS,"7,80%",54,"6,83%",6,Skaudvilės  (Nr.24) apylinkė  
Vidmanta MARCINKEVIČIENĖ,"7,02%",47,"6,15%",7,Skaudvilės  (Nr.24) apylinkė  
Gintaris STOŠKUS,"2,08%",14,"1,82%",2,Skaudvilės  (Nr.24) apylinkė  
Vitalija PETRAITIENĖ,"2,21%",13,"1,94%",4,Skaudvilės  (Nr.24) apylinkė  
Aldona GUDŽIŪNIENĖ,"1,17%",8,"1,03%",1,Skaudvilės  (Nr.24) apylinkė  
Eglija VAITKEVIČĖ,"9,75%",70,"8,54%",5,Skaudvilės  (Nr.24) apylinkė  
Aleksandras MOLIBOGA,"2,99%",22,"2,62%",1,Skaudvilės  (Nr.24) apylinkė  
Bronius PAUŽA,"24,12%",101,"22,52%",15,Veliuonos  (Nr.23) apylinkė  
Saulius LAPĖNAS,"15,80%",56,"14,76%",20,Veliuonos  (Nr.23) apylinkė  
Edvardas STRONČIKAS,"20,37%",81,"19,03%",17,Veliuonos  (Nr.23) apylinkė  
Algirdas GUDAITIS,"11,85%",42,"11,07%",15,Veliuonos  (Nr.23) apylinkė  
Vitalijus KARAKORSKIS,"5,61%",27,"5,24%",0,Veliuonos  (Nr.23) apylinkė  
Vidmanta MARCINKEVIČIENĖ,"9,56%",40,"8,93%",6,Veliuonos  (Nr.23) apylinkė  
Gintaris STOŠKUS,"3,95%",15,"3,69%",4,Veliuonos  (Nr.23) apylinkė  
Vitalija PETRAITIENĖ,"3,12%",13,"2,91%",2,Veliuonos  (Nr.23) apylinkė  
Aldona GUDŽIŪNIENĖ,"3,12%",10,"2,91%",5,Veliuonos  (Nr.23) apylinkė  
Eglija VAITKEVIČĖ,"0,83%",4,"0,78%",0,Veliuonos  (Nr.23) apylinkė  
Aleksandras MOLIBOGA,"1,66%",6,"1,55%",2,Veliuonos  (Nr.23) apylinkė  
Bronius PAUŽA,"48,02%",60,"45,70%",25,Tamošių  (Nr.22) apylinkė  
Saulius LAPĖNAS,"5,08%",9,"4,84%",0,Tamošių  (Nr.22) apylinkė  
Edvardas STRONČIKAS,"8,47%",7,"8,06%",8,Tamošių  (Nr.22) apylinkė  
Algirdas GUDAITIS,"7,34%",5,"6,99%",8,Tamošių  (Nr.22) apylinkė  
Vitalijus KARAKORSKIS,"6,21%",11,"5,91%",0,Tamošių  (Nr.22) apylinkė  
Vidmanta MARCINKEVIČIENĖ,"2,82%",3,"2,69%",2,Tamošių  (Nr.22) apylinkė  
Gintaris STOŠKUS,"5,08%",2,"4,84%",7,Tamošių  (Nr.22) apylinkė  
Vitalija PETRAITIENĖ,"3,95%",7,"3,76%",0,Tamošių  (Nr.22) apylinkė  
Aldona GUDŽIŪNIENĖ,"9,04%",12,"8,60%",4,Tamošių  (Nr.22) apylinkė  
Eglija VAITKEVIČĖ,"2,82%",4,"2,69%",1,Tamošių  (Nr.22) apylinkė  
Aleksandras MOLIBOGA,"1,13%",2,"1,08%",0,Tamošių  (Nr.22) apylinkė  
Bronius PAUŽA,"29,89%",18,"28,57%",8,Gricių  (Nr.21) apylinkė  
Saulius LAPĖNAS,"6,90%",5,"6,59%",1,Gricių  (Nr.21) apylinkė  
Edvardas STRONČIKAS,"1,15%",0,"1,10%",1,Gricių  (Nr.21) apylinkė  
Algirdas GUDAITIS,"2,30%",2,"2,20%",0,Gricių  (Nr.21) apylinkė  
Vitalijus KARAKORSKIS,"4,60%",4,"4,40%",0,Gricių  (Nr.21) apylinkė  
Vidmanta MARCINKEVIČIENĖ,"2,30%",2,"2,20%",0,Gricių  (Nr.21) apylinkė  
Gintaris STOŠKUS,"0,00%",0,"0,00%",0,Gricių  (Nr.21) apylinkė  
Vitalija PETRAITIENĖ,"0,00%",0,"0,00%",0,Gricių  (Nr.21) apylinkė  
Aldona GUDŽIŪNIENĖ,"50,57%",35,"48,35%",9,Gricių  (Nr.21) apylinkė  
Eglija VAITKEVIČĖ,"2,30%",2,"2,20%",0,Gricių  (Nr.21) apylinkė  
Aleksandras MOLIBOGA,"0,00%",0,"0,00%",0,Gricių  (Nr.21) apylinkė  
Bronius PAUŽA,"26,40%",86,"25,07%",8,Klausučių  (Nr.20) apylinkė  
Saulius LAPĖNAS,"14,61%",44,"13,87%",8,Klausučių  (Nr.20) apylinkė  
Edvardas STRONČIKAS,"15,73%",47,"14,93%",9,Klausučių  (Nr.20) apylinkė  
Algirdas GUDAITIS,"4,21%",12,"4,00%",3,Klausučių  (Nr.20) apylinkė  
Vitalijus KARAKORSKIS,"9,83%",31,"9,33%",4,Klausučių  (Nr.20) apylinkė  
Vidmanta MARCINKEVIČIENĖ,"10,67%",36,"10,13%",2,Klausučių  (Nr.20) apylinkė  
Gintaris STOŠKUS,"4,21%",15,"4,00%",0,Klausučių  (Nr.20) apylinkė  
Vitalija PETRAITIENĖ,"3,65%",11,"3,47%",2,Klausučių  (Nr.20) apylinkė  
Aldona GUDŽIŪNIENĖ,"4,78%",17,"4,53%",0,Klausučių  (Nr.20) apylinkė  
Eglija VAITKEVIČĖ,"3,93%",14,"3,73%",0,Klausučių  (Nr.20) apylinkė  
Aleksandras MOLIBOGA,"1,97%",7,"1,87%",0,Klausučių  (Nr.20) apylinkė  
Bronius PAUŽA,"33,89%",91,"32,34%",50,Seredžiaus  (Nr.19) apylinkė  
Saulius LAPĖNAS,"7,93%",27,"7,57%",6,Seredžiaus  (Nr.19) apylinkė  
Edvardas STRONČIKAS,"16,11%",52,"15,37%",15,Seredžiaus  (Nr.19) apylinkė  
Algirdas GUDAITIS,"15,62%",55,"14,91%",10,Seredžiaus  (Nr.19) apylinkė  
Vitalijus KARAKORSKIS,"6,25%",20,"5,96%",6,Seredžiaus  (Nr.19) apylinkė  
Vidmanta MARCINKEVIČIENĖ,"7,45%",20,"7,11%",11,Seredžiaus  (Nr.19) apylinkė  
Gintaris STOŠKUS,"3,37%",10,"3,21%",4,Seredžiaus  (Nr.19) apylinkė  
Vitalija PETRAITIENĖ,"1,68%",6,"1,61%",1,Seredžiaus  (Nr.19) apylinkė  
Aldona GUDŽIŪNIENĖ,"3,85%",12,"3,67%",4,Seredžiaus  (Nr.19) apylinkė  
Eglija VAITKEVIČĖ,"1,44%",5,"1,38%",1,Seredžiaus  (Nr.19) apylinkė  
Aleksandras MOLIBOGA,"2,40%",8,"2,29%",2,Seredžiaus  (Nr.19) apylinkė  
Bronius PAUŽA,"35,39%",52,"34,43%",11,Armeniškių  (Nr.18) apylinkė  
Saulius LAPĖNAS,"7,87%",8,"7,65%",6,Armeniškių  (Nr.18) apylinkė  
Edvardas STRONČIKAS,"12,36%",15,"12,02%",7,Armeniškių  (Nr.18) apylinkė  
Algirdas GUDAITIS,"9,55%",14,"9,29%",3,Armeniškių  (Nr.18) apylinkė  
Vitalijus KARAKORSKIS,"8,43%",15,"8,20%",0,Armeniškių  (Nr.18) apylinkė  
Vidmanta MARCINKEVIČIENĖ,"6,18%",7,"6,01%",4,Armeniškių  (Nr.18) apylinkė  
Gintaris STOŠKUS,"1,69%",3,"1,64%",0,Armeniškių  (Nr.18) apylinkė  
Vitalija PETRAITIENĖ,"14,61%",22,"14,21%",4,Armeniškių  (Nr.18) apylinkė  
Aldona GUDŽIŪNIENĖ,"2,25%",3,"2,19%",1,Armeniškių  (Nr.18) apylinkė  
Eglija VAITKEVIČĖ,"1,69%",2,"1,64%",1,Armeniškių  (Nr.18) apylinkė  
Aleksandras MOLIBOGA,"0,00%",0,"0,00%",0,Armeniškių  (Nr.18) apylinkė  
Bronius PAUŽA,"22,22%",46,"20,34%",2,Juodaičių  (Nr.17) apylinkė  
Saulius LAPĖNAS,"24,07%",48,"22,03%",4,Juodaičių  (Nr.17) apylinkė  
Edvardas STRONČIKAS,"15,74%",30,"14,41%",4,Juodaičių  (Nr.17) apylinkė  
Algirdas GUDAITIS,"7,87%",16,"7,20%",1,Juodaičių  (Nr.17) apylinkė  
Vitalijus KARAKORSKIS,"11,57%",22,"10,59%",3,Juodaičių  (Nr.17) apylinkė  
Vidmanta MARCINKEVIČIENĖ,"4,63%",10,"4,24%",0,Juodaičių  (Nr.17) apylinkė  
Gintaris STOŠKUS,"1,39%",2,"1,27%",1,Juodaičių  (Nr.17) apylinkė  
Vitalija PETRAITIENĖ,"1,85%",4,"1,69%",0,Juodaičių  (Nr.17) apylinkė  
Aldona GUDŽIŪNIENĖ,"8,33%",15,"7,63%",3,Juodaičių  (Nr.17) apylinkė  
Eglija VAITKEVIČĖ,"1,85%",3,"1,69%",1,Juodaičių  (Nr.17) apylinkė  
Aleksandras MOLIBOGA,"0,46%",1,"0,42%",0,Juodaičių  (Nr.17) apylinkė  
Bronius PAUŽA,"48,39%",54,"45,45%",6,Volungiškės  (Nr.16) apylinkė  
Saulius LAPĖNAS,"4,84%",5,"4,55%",1,Volungiškės  (Nr.16) apylinkė  
Edvardas STRONČIKAS,"6,45%",6,"6,06%",2,Volungiškės  (Nr.16) apylinkė  
Algirdas GUDAITIS,"19,35%",22,"18,18%",2,Volungiškės  (Nr.16) apylinkė  
Vitalijus KARAKORSKIS,"3,23%",4,"3,03%",0,Volungiškės  (Nr.16) apylinkė  
Vidmanta MARCINKEVIČIENĖ,"4,03%",3,"3,79%",2,Volungiškės  (Nr.16) apylinkė  
Gintaris STOŠKUS,"4,03%",4,"3,79%",1,Volungiškės  (Nr.16) apylinkė  
Vitalija PETRAITIENĖ,"0,00%",0,"0,00%",0,Volungiškės  (Nr.16) apylinkė  
Aldona GUDŽIŪNIENĖ,"7,26%",4,"6,82%",5,Volungiškės  (Nr.16) apylinkė  
Eglija VAITKEVIČĖ,"0,81%",1,"0,76%",0,Volungiškės  (Nr.16) apylinkė  
Aleksandras MOLIBOGA,"1,61%",1,"1,52%",1,Volungiškės  (Nr.16) apylinkė  
Bronius PAUŽA,"34,29%",39,"34,29%",9,Paulių  (Nr.15) apylinkė  
Saulius LAPĖNAS,"20,00%",22,"20,00%",6,Paulių  (Nr.15) apylinkė  
Edvardas STRONČIKAS,"5,71%",6,"5,71%",2,Paulių  (Nr.15) apylinkė  
Algirdas GUDAITIS,"11,43%",12,"11,43%",4,Paulių  (Nr.15) apylinkė  
Vitalijus KARAKORSKIS,"10,71%",13,"10,71%",2,Paulių  (Nr.15) apylinkė  
Vidmanta MARCINKEVIČIENĖ,"7,86%",8,"7,86%",3,Paulių  (Nr.15) apylinkė  
Gintaris STOŠKUS,"4,29%",4,"4,29%",2,Paulių  (Nr.15) apylinkė  
Vitalija PETRAITIENĖ,"2,14%",1,"2,14%",2,Paulių  (Nr.15) apylinkė  
Aldona GUDŽIŪNIENĖ,"2,14%",3,"2,14%",0,Paulių  (Nr.15) apylinkė  
Eglija VAITKEVIČĖ,"1,43%",2,"1,43%",0,Paulių  (Nr.15) apylinkė  
Aleksandras MOLIBOGA,"0,00%",0,"0,00%",0,Paulių  (Nr.15) apylinkė  
Bronius PAUŽA,"34,24%",56,"31,66%",7,Šimkaičių  (Nr.14) apylinkė  
Saulius LAPĖNAS,"11,96%",13,"11,06%",9,Šimkaičių  (Nr.14) apylinkė  
Edvardas STRONČIKAS,"10,33%",18,"9,55%",1,Šimkaičių  (Nr.14) apylinkė  
Algirdas GUDAITIS,"18,48%",21,"17,09%",13,Šimkaičių  (Nr.14) apylinkė  
Vitalijus KARAKORSKIS,"5,43%",10,"5,03%",0,Šimkaičių  (Nr.14) apylinkė  
Vidmanta MARCINKEVIČIENĖ,"8,70%",14,"8,04%",2,Šimkaičių  (Nr.14) apylinkė  
Gintaris STOŠKUS,"3,26%",5,"3,02%",1,Šimkaičių  (Nr.14) apylinkė  
Vitalija PETRAITIENĖ,"1,63%",3,"1,51%",0,Šimkaičių  (Nr.14) apylinkė  
Aldona GUDŽIŪNIENĖ,"3,80%",6,"3,52%",1,Šimkaičių  (Nr.14) apylinkė  
Eglija VAITKEVIČĖ,"1,09%",2,"1,01%",0,Šimkaičių  (Nr.14) apylinkė  
Aleksandras MOLIBOGA,"1,09%",2,"1,01%",0,Šimkaičių  (Nr.14) apylinkė  
Bronius PAUŽA,"26,20%",67,"25,22%",20,Vadžgirio  (Nr.13) apylinkė  
Saulius LAPĖNAS,"12,35%",36,"11,88%",5,Vadžgirio  (Nr.13) apylinkė  
Edvardas STRONČIKAS,"16,27%",40,"15,65%",14,Vadžgirio  (Nr.13) apylinkė  
Algirdas GUDAITIS,"20,78%",48,"20,00%",21,Vadžgirio  (Nr.13) apylinkė  
Vitalijus KARAKORSKIS,"6,93%",17,"6,67%",6,Vadžgirio  (Nr.13) apylinkė  
Vidmanta MARCINKEVIČIENĖ,"4,82%",14,"4,64%",2,Vadžgirio  (Nr.13) apylinkė  
Gintaris STOŠKUS,"6,02%",17,"5,80%",3,Vadžgirio  (Nr.13) apylinkė  
Vitalija PETRAITIENĖ,"2,41%",8,"2,32%",0,Vadžgirio  (Nr.13) apylinkė  
Aldona GUDŽIŪNIENĖ,"1,81%",6,"1,74%",0,Vadžgirio  (Nr.13) apylinkė  
Eglija VAITKEVIČĖ,"1,81%",5,"1,74%",1,Vadžgirio  (Nr.13) apylinkė  
Aleksandras MOLIBOGA,"0,60%",1,"0,58%",1,Vadžgirio  (Nr.13) apylinkė  
Bronius PAUŽA,"31,36%",90,"29,78%",16,Girdžių  (Nr.12) apylinkė  
Saulius LAPĖNAS,"15,68%",42,"14,89%",11,Girdžių  (Nr.12) apylinkė  
Edvardas STRONČIKAS,"17,75%",43,"16,85%",17,Girdžių  (Nr.12) apylinkė  
Algirdas GUDAITIS,"13,02%",34,"12,36%",10,Girdžių  (Nr.12) apylinkė  
Vitalijus KARAKORSKIS,"5,92%",20,"5,62%",0,Girdžių  (Nr.12) apylinkė  
Vidmanta MARCINKEVIČIENĖ,"6,51%",21,"6,18%",1,Girdžių  (Nr.12) apylinkė  
Gintaris STOŠKUS,"3,85%",11,"3,65%",2,Girdžių  (Nr.12) apylinkė  
Vitalija PETRAITIENĖ,"1,78%",5,"1,69%",1,Girdžių  (Nr.12) apylinkė  
Aldona GUDŽIŪNIENĖ,"1,78%",2,"1,69%",4,Girdžių  (Nr.12) apylinkė  
Eglija VAITKEVIČĖ,"0,89%",3,"0,84%",0,Girdžių  (Nr.12) apylinkė  
Aleksandras MOLIBOGA,"1,48%",4,"1,40%",1,Girdžių  (Nr.12) apylinkė  
Bronius PAUŽA,"27,22%",39,"25,60%",4,Pavidaujo  (Nr.11) apylinkė  
Saulius LAPĖNAS,"15,82%",18,"14,88%",7,Pavidaujo  (Nr.11) apylinkė  
Edvardas STRONČIKAS,"6,96%",11,"6,55%",0,Pavidaujo  (Nr.11) apylinkė  
Algirdas GUDAITIS,"17,09%",19,"16,07%",8,Pavidaujo  (Nr.11) apylinkė  
Vitalijus KARAKORSKIS,"7,59%",10,"7,14%",2,Pavidaujo  (Nr.11) apylinkė  
Vidmanta MARCINKEVIČIENĖ,"20,25%",26,"19,05%",6,Pavidaujo  (Nr.11) apylinkė  
Gintaris STOŠKUS,"0,63%",1,"0,60%",0,Pavidaujo  (Nr.11) apylinkė  
Vitalija PETRAITIENĖ,"3,16%",4,"2,98%",1,Pavidaujo  (Nr.11) apylinkė  
Aldona GUDŽIŪNIENĖ,"0,63%",1,"0,60%",0,Pavidaujo  (Nr.11) apylinkė  
Eglija VAITKEVIČĖ,"0,63%",0,"0,60%",1,Pavidaujo  (Nr.11) apylinkė  
Aleksandras MOLIBOGA,"0,00%",0,"0,00%",0,Pavidaujo  (Nr.11) apylinkė  
Bronius PAUŽA,"39,01%",47,"37,41%",8,Rutkiškių  (Nr.10) apylinkė  
Saulius LAPĖNAS,"11,35%",15,"10,88%",1,Rutkiškių  (Nr.10) apylinkė  
Edvardas STRONČIKAS,"8,51%",10,"8,16%",2,Rutkiškių  (Nr.10) apylinkė  
Algirdas GUDAITIS,"12,77%",14,"12,24%",4,Rutkiškių  (Nr.10) apylinkė  
Vitalijus KARAKORSKIS,"13,48%",17,"12,93%",2,Rutkiškių  (Nr.10) apylinkė  
Vidmanta MARCINKEVIČIENĖ,"4,96%",7,"4,76%",0,Rutkiškių  (Nr.10) apylinkė  
Gintaris STOŠKUS,"4,96%",6,"4,76%",1,Rutkiškių  (Nr.10) apylinkė  
Vitalija PETRAITIENĖ,"1,42%",2,"1,36%",0,Rutkiškių  (Nr.10) apylinkė  
Aldona GUDŽIŪNIENĖ,"2,13%",3,"2,04%",0,Rutkiškių  (Nr.10) apylinkė  
Eglija VAITKEVIČĖ,"0,00%",0,"0,00%",0,Rutkiškių  (Nr.10) apylinkė  
Aleksandras MOLIBOGA,"1,42%",2,"1,36%",0,Rutkiškių  (Nr.10) apylinkė  
Bronius PAUŽA,"51,93%",84,"47,72%",10,Kartupių  (Nr.9) apylinkė  
Saulius LAPĖNAS,"6,63%",10,"6,09%",2,Kartupių  (Nr.9) apylinkė  
Edvardas STRONČIKAS,"9,94%",13,"9,14%",5,Kartupių  (Nr.9) apylinkė  
Algirdas GUDAITIS,"11,60%",19,"10,66%",2,Kartupių  (Nr.9) apylinkė  
Vitalijus KARAKORSKIS,"4,97%",8,"4,57%",1,Kartupių  (Nr.9) apylinkė  
Vidmanta MARCINKEVIČIENĖ,"1,66%",3,"1,52%",0,Kartupių  (Nr.9) apylinkė  
Gintaris STOŠKUS,"6,63%",9,"6,09%",3,Kartupių  (Nr.9) apylinkė  
Vitalija PETRAITIENĖ,"1,10%",2,"1,02%",0,Kartupių  (Nr.9) apylinkė  
Aldona GUDŽIŪNIENĖ,"2,21%",3,"2,03%",1,Kartupių  (Nr.9) apylinkė  
Eglija VAITKEVIČĖ,"2,76%",2,"2,54%",3,Kartupių  (Nr.9) apylinkė  
Aleksandras MOLIBOGA,"0,55%",1,"0,51%",0,Kartupių  (Nr.9) apylinkė  
Bronius PAUŽA,"49,59%",97,"48,02%",24,Lybiškių  (Nr.8) apylinkė  
Saulius LAPĖNAS,"9,84%",19,"9,52%",5,Lybiškių  (Nr.8) apylinkė  
Edvardas STRONČIKAS,"16,39%",29,"15,87%",11,Lybiškių  (Nr.8) apylinkė  
Algirdas GUDAITIS,"11,07%",25,"10,71%",2,Lybiškių  (Nr.8) apylinkė  
Vitalijus KARAKORSKIS,"5,74%",12,"5,56%",2,Lybiškių  (Nr.8) apylinkė  
Vidmanta MARCINKEVIČIENĖ,"5,33%",11,"5,16%",2,Lybiškių  (Nr.8) apylinkė  
Gintaris STOŠKUS,"0,41%",1,"0,40%",0,Lybiškių  (Nr.8) apylinkė  
Vitalija PETRAITIENĖ,"1,23%",3,"1,19%",0,Lybiškių  (Nr.8) apylinkė  
Aldona GUDŽIŪNIENĖ,"0,00%",0,"0,00%",0,Lybiškių  (Nr.8) apylinkė  
Eglija VAITKEVIČĖ,"0,41%",1,"0,40%",0,Lybiškių  (Nr.8) apylinkė  
Aleksandras MOLIBOGA,"0,00%",0,"0,00%",0,Lybiškių  (Nr.8) apylinkė  
Bronius PAUŽA,"31,69%",52,"30,21%",6,Pašaltuonio  (Nr.7) apylinkė  
Saulius LAPĖNAS,"8,20%",12,"7,81%",3,Pašaltuonio  (Nr.7) apylinkė  
Edvardas STRONČIKAS,"16,39%",19,"15,62%",11,Pašaltuonio  (Nr.7) apylinkė  
Algirdas GUDAITIS,"20,77%",34,"19,79%",4,Pašaltuonio  (Nr.7) apylinkė  
Vitalijus KARAKORSKIS,"3,28%",6,"3,12%",0,Pašaltuonio  (Nr.7) apylinkė  
Vidmanta MARCINKEVIČIENĖ,"8,74%",15,"8,33%",1,Pašaltuonio  (Nr.7) apylinkė  
Gintaris STOŠKUS,"0,55%",1,"0,52%",0,Pašaltuonio  (Nr.7) apylinkė  
Vitalija PETRAITIENĖ,"0,55%",1,"0,52%",0,Pašaltuonio  (Nr.7) apylinkė  
Aldona GUDŽIŪNIENĖ,"3,83%",6,"3,65%",1,Pašaltuonio  (Nr.7) apylinkė  
Eglija VAITKEVIČĖ,"1,64%",2,"1,56%",1,Pašaltuonio  (Nr.7) apylinkė  
Aleksandras MOLIBOGA,"4,37%",8,"4,17%",0,Pašaltuonio  (Nr.7) apylinkė  
Bronius PAUŽA,"36,13%",78,"33,45%",21,Eržvilko  (Nr.6) apylinkė  
Saulius LAPĖNAS,"8,03%",15,"7,43%",7,Eržvilko  (Nr.6) apylinkė  
Edvardas STRONČIKAS,"15,69%",20,"14,53%",23,Eržvilko  (Nr.6) apylinkė  
Algirdas GUDAITIS,"20,07%",33,"18,58%",22,Eržvilko  (Nr.6) apylinkė  
Vitalijus KARAKORSKIS,"6,93%",19,"6,42%",0,Eržvilko  (Nr.6) apylinkė  
Vidmanta MARCINKEVIČIENĖ,"5,47%",14,"5,07%",1,Eržvilko  (Nr.6) apylinkė  
Gintaris STOŠKUS,"3,65%",6,"3,38%",4,Eržvilko  (Nr.6) apylinkė  
Vitalija PETRAITIENĖ,"1,09%",2,"1,01%",1,Eržvilko  (Nr.6) apylinkė  
Aldona GUDŽIŪNIENĖ,"1,82%",4,"1,69%",1,Eržvilko  (Nr.6) apylinkė  
Eglija VAITKEVIČĖ,"0,00%",0,"0,00%",0,Eržvilko  (Nr.6) apylinkė  
Aleksandras MOLIBOGA,"1,09%",3,"1,01%",0,Eržvilko  (Nr.6) apylinkė  
Bronius PAUŽA,"39,17%",69,"36,58%",25,Žindaičių  (Nr.5) apylinkė  
Saulius LAPĖNAS,"12,92%",25,"12,06%",6,Žindaičių  (Nr.5) apylinkė  
Edvardas STRONČIKAS,"15,83%",25,"14,79%",13,Žindaičių  (Nr.5) apylinkė  
Algirdas GUDAITIS,"4,58%",7,"4,28%",4,Žindaičių  (Nr.5) apylinkė  
Vitalijus KARAKORSKIS,"7,92%",16,"7,39%",3,Žindaičių  (Nr.5) apylinkė  
Vidmanta MARCINKEVIČIENĖ,"8,75%",17,"8,17%",4,Žindaičių  (Nr.5) apylinkė  
